trade_date,raw_close,adj_close,asof_timestamp
2021-01-04T00:00:00,243.2566680908203,243.2566680908203,2021-01-04T00:00:00
2021-01-05T00:00:00,245.0366668701172,245.0366668701172,2021-01-05T00:00:00
2021-01-06T00:00:00,251.9933319091797,251.9933319091797,2021-01-06T00:00:00
2021-01-07T00:00:00,272.0133361816406,272.0133361816406,2021-01-07T00:00:00
2021-01-08T00:00:00,293.3399963378906,293.3399963378906,2021-01-08T00:00:00
2021-01-11T00:00:00,270.39666748046875,270.39666748046875,2021-01-11T00:00:00
2021-01-12T00:00:00,283.14666748046875,283.14666748046875,2021-01-12T00:00:00
2021-01-13T00:00:00,284.8033447265625,284.8033447265625,2021-01-13T00:00:00
2021-01-14T00:00:00,281.6666564941406,281.6666564941406,2021-01-14T00:00:00
2021-01-15T00:00:00,275.38665771484375,275.38665771484375,2021-01-15T00:00:00
2021-01-19T00:00:00,281.51666259765625,281.51666259765625,2021-01-19T00:00:00
2021-01-20T00:00:00,283.48333740234375,283.48333740234375,2021-01-20T00:00:00
2021-01-21T00:00:00,281.663330078125,281.663330078125,2021-01-21T00:00:00
2021-01-22T00:00:00,282.21331787109375,282.21331787109375,2021-01-22T00:00:00
2021-01-25T00:00:00,293.6000061035156,293.6000061035156,2021-01-25T00:00:00
2021-01-26T00:00:00,294.36334228515625,294.36334228515625,2021-01-26T00:00:00
2021-01-27T00:00:00,288.0533447265625,288.0533447265625,2021-01-27T00:00:00
2021-01-28T00:00:00,278.4766540527344,278.4766540527344,2021-01-28T00:00:00
2021-01-29T00:00:00,264.510009765625,264.510009765625,2021-01-29T00:00:00
2021-02-01T00:00:00,279.9366760253906,279.9366760253906,2021-02-01T00:00:00
2021-02-02T00:00:00,290.92999267578125,290.92999267578125,2021-02-02T00:00:00
2021-02-03T00:00:00,284.89666748046875,284.89666748046875,2021-02-03T00:00:00
2021-02-04T00:00:00,283.3299865722656,283.3299865722656,2021-02-04T00:00:00
2021-02-05T00:00:00,284.07666015625,284.07666015625,2021-02-05T00:00:00
2021-02-08T00:00:00,287.8066711425781,287.8066711425781,2021-02-08T00:00:00
2021-02-09T00:00:00,283.1533203125,283.1533203125,2021-02-09T00:00:00
2021-02-10T00:00:00,268.2733459472656,268.2733459472656,2021-02-10T00:00:00
2021-02-11T00:00:00,270.5533447265625,270.5533447265625,2021-02-11T00:00:00
2021-02-12T00:00:00,272.0400085449219,272.0400085449219,2021-02-12T00:00:00
2021-02-16T00:00:00,265.40667724609375,265.40667724609375,2021-02-16T00:00:00
2021-02-17T00:00:00,266.04998779296875,266.04998779296875,2021-02-17T00:00:00
2021-02-18T00:00:00,262.4599914550781,262.4599914550781,2021-02-18T00:00:00
2021-02-19T00:00:00,260.4333190917969,260.4333190917969,2021-02-19T00:00:00
2021-02-22T00:00:00,238.1666717529297,238.1666717529297,2021-02-22T00:00:00
2021-02-23T00:00:00,232.94667053222656,232.94667053222656,2021-02-23T00:00:00
2021-02-24T00:00:00,247.33999633789062,247.33999633789062,2021-02-24T00:00:00
2021-02-25T00:00:00,227.4066619873047,227.4066619873047,2021-02-25T00:00:00
2021-02-26T00:00:00,225.1666717529297,225.1666717529297,2021-02-26T00:00:00
2021-03-01T00:00:00,239.47666931152344,239.47666931152344,2021-03-01T00:00:00
2021-03-02T00:00:00,228.81333923339844,228.81333923339844,2021-03-02T00:00:00
2021-03-03T00:00:00,217.73333740234375,217.73333740234375,2021-03-03T00:00:00
2021-03-04T00:00:00,207.14666748046875,207.14666748046875,2021-03-04T00:00:00
2021-03-05T00:00:00,199.31666564941406,199.31666564941406,2021-03-05T00:00:00
2021-03-08T00:00:00,187.6666717529297,187.6666717529297,2021-03-08T00:00:00
2021-03-09T00:00:00,224.52667236328125,224.52667236328125,2021-03-09T00:00:00
2021-03-10T00:00:00,222.68666076660156,222.68666076660156,2021-03-10T00:00:00
2021-03-11T00:00:00,233.1999969482422,233.1999969482422,2021-03-11T00:00:00
2021-03-12T00:00:00,231.2433319091797,231.2433319091797,2021-03-12T00:00:00
2021-03-15T00:00:00,235.97999572753906,235.97999572753906,2021-03-15T00:00:00
2021-03-16T00:00:00,225.6266632080078,225.6266632080078,2021-03-16T00:00:00
2021-03-17T00:00:00,233.93666076660156,233.93666076660156,2021-03-17T00:00:00
2021-03-18T00:00:00,217.72000122070312,217.72000122070312,2021-03-18T00:00:00
2021-03-19T00:00:00,218.2899932861328,218.2899932861328,2021-03-19T00:00:00
2021-03-22T00:00:00,223.3333282470703,223.3333282470703,2021-03-22T00:00:00
2021-03-23T00:00:00,220.72000122070312,220.72000122070312,2021-03-23T00:00:00
2021-03-24T00:00:00,210.08999633789062,210.08999633789062,2021-03-24T00:00:00
2021-03-25T00:00:00,213.4633331298828,213.4633331298828,2021-03-25T00:00:00
2021-03-26T00:00:00,206.23666381835938,206.23666381835938,2021-03-26T00:00:00
2021-03-29T00:00:00,203.76333618164062,203.76333618164062,2021-03-29T00:00:00
2021-03-30T00:00:00,211.8733367919922,211.8733367919922,2021-03-30T00:00:00
2021-03-31T00:00:00,222.64332580566406,222.64332580566406,2021-03-31T00:00:00
2021-04-01T00:00:00,220.5833282470703,220.5833282470703,2021-04-01T00:00:00
2021-04-05T00:00:00,230.35000610351562,230.35000610351562,2021-04-05T00:00:00
2021-04-06T00:00:00,230.5399932861328,230.5399932861328,2021-04-06T00:00:00
2021-04-07T00:00:00,223.6566619873047,223.6566619873047,2021-04-07T00:00:00
2021-04-08T00:00:00,227.93333435058594,227.93333435058594,2021-04-08T00:00:00
2021-04-09T00:00:00,225.67333984375,225.67333984375,2021-04-09T00:00:00
2021-04-12T00:00:00,233.9933319091797,233.9933319091797,2021-04-12T00:00:00
2021-04-13T00:00:00,254.10667419433594,254.10667419433594,2021-04-13T00:00:00
2021-04-14T00:00:00,244.07666015625,244.07666015625,2021-04-14T00:00:00
2021-04-15T00:00:00,246.28334045410156,246.28334045410156,2021-04-15T00:00:00
2021-04-16T00:00:00,246.5933380126953,246.5933380126953,2021-04-16T00:00:00
2021-04-19T00:00:00,238.2100067138672,238.2100067138672,2021-04-19T00:00:00
2021-04-20T00:00:00,239.663330078125,239.663330078125,2021-04-20T00:00:00
2021-04-21T00:00:00,248.0399932861328,248.0399932861328,2021-04-21T00:00:00
2021-04-22T00:00:00,239.89666748046875,239.89666748046875,2021-04-22T00:00:00
2021-04-23T00:00:00,243.13333129882812,243.13333129882812,2021-04-23T00:00:00
2021-04-26T00:00:00,246.06666564941406,246.06666564941406,2021-04-26T00:00:00
2021-04-27T00:00:00,234.913330078125,234.913330078125,2021-04-27T00:00:00
2021-04-28T00:00:00,231.46665954589844,231.46665954589844,2021-04-28T00:00:00
2021-04-29T00:00:00,225.6666717529297,225.6666717529297,2021-04-29T00:00:00
2021-04-30T00:00:00,236.47999572753906,236.47999572753906,2021-04-30T00:00:00
2021-05-03T00:00:00,228.3000030517578,228.3000030517578,2021-05-03T00:00:00
2021-05-04T00:00:00,224.53334045410156,224.53334045410156,2021-05-04T00:00:00
2021-05-05T00:00:00,223.64666748046875,223.64666748046875,2021-05-05T00:00:00
2021-05-06T00:00:00,221.17999267578125,221.17999267578125,2021-05-06T00:00:00
2021-05-07T00:00:00,224.1233367919922,224.1233367919922,2021-05-07T00:00:00
2021-05-10T00:00:00,209.67999267578125,209.67999267578125,2021-05-10T00:00:00
2021-05-11T00:00:00,205.73333740234375,205.73333740234375,2021-05-11T00:00:00
2021-05-12T00:00:00,196.6300048828125,196.6300048828125,2021-05-12T00:00:00
2021-05-13T00:00:00,190.56333923339844,190.56333923339844,2021-05-13T00:00:00
2021-05-14T00:00:00,196.5800018310547,196.5800018310547,2021-05-14T00:00:00
2021-05-17T00:00:00,192.27667236328125,192.27667236328125,2021-05-17T00:00:00
2021-05-18T00:00:00,192.6233367919922,192.6233367919922,2021-05-18T00:00:00
2021-05-19T00:00:00,187.82000732421875,187.82000732421875,2021-05-19T00:00:00
2021-05-20T00:00:00,195.5933380126953,195.5933380126953,2021-05-20T00:00:00
2021-05-21T00:00:00,193.6266632080078,193.6266632080078,2021-05-21T00:00:00
2021-05-24T00:00:00,202.14666748046875,202.14666748046875,2021-05-24T00:00:00
2021-05-25T00:00:00,201.56333923339844,201.56333923339844,2021-05-25T00:00:00
