trade_date,ticker,asof_timestamp,instrument_id
2025-10-24,AAPL,2025-10-24T16:00:00,AAPL
2025-10-24,MSFT,2025-10-24T16:00:00,MSFT
2025-10-24,NVDA,2025-10-24T16:00:00,NVDA
2025-10-24,AMZN,2025-10-24T16:00:00,AMZN
2025-10-24,META,2025-10-24T16:00:00,META
2025-10-24,GOOGL,2025-10-24T16:00:00,GOOGL
2025-10-24,GOOG,2025-10-24T16:00:00,GOOG
2025-10-24,TSLA,2025-10-24T16:00:00,TSLA
2025-10-24,AVGO,2025-10-24T16:00:00,AVGO
2025-10-24,COST,2025-10-24T16:00:00,COST
2025-10-24,NFLX,2025-10-24T16:00:00,NFLX
2025-10-24,AMD,2025-10-24T16:00:00,AMD
2025-10-24,ADBE,2025-10-24T16:00:00,ADBE
2025-10-24,QCOM,2025-10-24T16:00:00,QCOM
2025-10-24,PEP,2025-10-24T16:00:00,PEP
2025-10-24,INTU,2025-10-24T16:00:00,INTU
2025-10-24,CSCO,2025-10-24T16:00:00,CSCO
2025-10-24,TXN,2025-10-24T16:00:00,TXN
2025-10-24,AMGN,2025-10-24T16:00:00,AMGN
2025-10-24,AMAT,2025-10-24T16:00:00,AMAT
