trade_date,ticker,asof_timestamp,instrument_id
2021-06-25,AAPL,2021-06-25T16:00:00,AAPL
2021-06-25,MSFT,2021-06-25T16:00:00,MSFT
2021-06-25,NVDA,2021-06-25T16:00:00,NVDA
2021-06-25,AMZN,2021-06-25T16:00:00,AMZN
2021-06-25,META,2021-06-25T16:00:00,META
2021-06-25,GOOGL,2021-06-25T16:00:00,GOOGL
2021-06-25,GOOG,2021-06-25T16:00:00,GOOG
2021-06-25,TSLA,2021-06-25T16:00:00,TSLA
2021-06-25,AVGO,2021-06-25T16:00:00,AVGO
2021-06-25,COST,2021-06-25T16:00:00,COST
2021-06-25,NFLX,2021-06-25T16:00:00,NFLX
2021-06-25,AMD,2021-06-25T16:00:00,AMD
2021-06-25,ADBE,2021-06-25T16:00:00,ADBE
2021-06-25,QCOM,2021-06-25T16:00:00,QCOM
2021-06-25,PEP,2021-06-25T16:00:00,PEP
2021-06-25,INTU,2021-06-25T16:00:00,INTU
2021-06-25,CSCO,2021-06-25T16:00:00,CSCO
2021-06-25,TXN,2021-06-25T16:00:00,TXN
2021-06-25,AMGN,2021-06-25T16:00:00,AMGN
2021-06-25,AMAT,2021-06-25T16:00:00,AMAT
