trade_date,ticker,asof_timestamp,instrument_id
2023-08-04,AAPL,2023-08-04T16:00:00,AAPL
2023-08-04,MSFT,2023-08-04T16:00:00,MSFT
2023-08-04,NVDA,2023-08-04T16:00:00,NVDA
2023-08-04,AMZN,2023-08-04T16:00:00,AMZN
2023-08-04,META,2023-08-04T16:00:00,META
2023-08-04,GOOGL,2023-08-04T16:00:00,GOOGL
2023-08-04,GOOG,2023-08-04T16:00:00,GOOG
2023-08-04,TSLA,2023-08-04T16:00:00,TSLA
2023-08-04,AVGO,2023-08-04T16:00:00,AVGO
2023-08-04,COST,2023-08-04T16:00:00,COST
2023-08-04,NFLX,2023-08-04T16:00:00,NFLX
2023-08-04,AMD,2023-08-04T16:00:00,AMD
2023-08-04,ADBE,2023-08-04T16:00:00,ADBE
2023-08-04,QCOM,2023-08-04T16:00:00,QCOM
2023-08-04,PEP,2023-08-04T16:00:00,PEP
2023-08-04,INTU,2023-08-04T16:00:00,INTU
2023-08-04,CSCO,2023-08-04T16:00:00,CSCO
2023-08-04,TXN,2023-08-04T16:00:00,TXN
2023-08-04,AMGN,2023-08-04T16:00:00,AMGN
2023-08-04,AMAT,2023-08-04T16:00:00,AMAT
