trade_date,ticker,asof_timestamp,instrument_id
2025-08-15,AAPL,2025-08-15T16:00:00,AAPL
2025-08-15,MSFT,2025-08-15T16:00:00,MSFT
2025-08-15,NVDA,2025-08-15T16:00:00,NVDA
2025-08-15,AMZN,2025-08-15T16:00:00,AMZN
2025-08-15,META,2025-08-15T16:00:00,META
2025-08-15,GOOGL,2025-08-15T16:00:00,GOOGL
2025-08-15,GOOG,2025-08-15T16:00:00,GOOG
2025-08-15,TSLA,2025-08-15T16:00:00,TSLA
2025-08-15,AVGO,2025-08-15T16:00:00,AVGO
2025-08-15,COST,2025-08-15T16:00:00,COST
2025-08-15,NFLX,2025-08-15T16:00:00,NFLX
2025-08-15,AMD,2025-08-15T16:00:00,AMD
2025-08-15,ADBE,2025-08-15T16:00:00,ADBE
2025-08-15,QCOM,2025-08-15T16:00:00,QCOM
2025-08-15,PEP,2025-08-15T16:00:00,PEP
2025-08-15,INTU,2025-08-15T16:00:00,INTU
2025-08-15,CSCO,2025-08-15T16:00:00,CSCO
2025-08-15,TXN,2025-08-15T16:00:00,TXN
2025-08-15,AMGN,2025-08-15T16:00:00,AMGN
2025-08-15,AMAT,2025-08-15T16:00:00,AMAT
