trade_date,ticker,asof_timestamp,instrument_id
2021-05-21,AAPL,2021-05-21T16:00:00,AAPL
2021-05-21,MSFT,2021-05-21T16:00:00,MSFT
2021-05-21,NVDA,2021-05-21T16:00:00,NVDA
2021-05-21,AMZN,2021-05-21T16:00:00,AMZN
2021-05-21,META,2021-05-21T16:00:00,META
2021-05-21,GOOGL,2021-05-21T16:00:00,GOOGL
2021-05-21,GOOG,2021-05-21T16:00:00,GOOG
2021-05-21,TSLA,2021-05-21T16:00:00,TSLA
2021-05-21,AVGO,2021-05-21T16:00:00,AVGO
2021-05-21,COST,2021-05-21T16:00:00,COST
2021-05-21,NFLX,2021-05-21T16:00:00,NFLX
2021-05-21,AMD,2021-05-21T16:00:00,AMD
2021-05-21,ADBE,2021-05-21T16:00:00,ADBE
2021-05-21,QCOM,2021-05-21T16:00:00,QCOM
2021-05-21,PEP,2021-05-21T16:00:00,PEP
2021-05-21,INTU,2021-05-21T16:00:00,INTU
2021-05-21,CSCO,2021-05-21T16:00:00,CSCO
2021-05-21,TXN,2021-05-21T16:00:00,TXN
2021-05-21,AMGN,2021-05-21T16:00:00,AMGN
2021-05-21,AMAT,2021-05-21T16:00:00,AMAT
