trade_date,ticker,asof_timestamp,instrument_id
2022-03-04,AAPL,2022-03-04T16:00:00,AAPL
2022-03-04,MSFT,2022-03-04T16:00:00,MSFT
2022-03-04,NVDA,2022-03-04T16:00:00,NVDA
2022-03-04,AMZN,2022-03-04T16:00:00,AMZN
2022-03-04,META,2022-03-04T16:00:00,META
2022-03-04,GOOGL,2022-03-04T16:00:00,GOOGL
2022-03-04,GOOG,2022-03-04T16:00:00,GOOG
2022-03-04,TSLA,2022-03-04T16:00:00,TSLA
2022-03-04,AVGO,2022-03-04T16:00:00,AVGO
2022-03-04,COST,2022-03-04T16:00:00,COST
2022-03-04,NFLX,2022-03-04T16:00:00,NFLX
2022-03-04,AMD,2022-03-04T16:00:00,AMD
2022-03-04,ADBE,2022-03-04T16:00:00,ADBE
2022-03-04,QCOM,2022-03-04T16:00:00,QCOM
2022-03-04,PEP,2022-03-04T16:00:00,PEP
2022-03-04,INTU,2022-03-04T16:00:00,INTU
2022-03-04,CSCO,2022-03-04T16:00:00,CSCO
2022-03-04,TXN,2022-03-04T16:00:00,TXN
2022-03-04,AMGN,2022-03-04T16:00:00,AMGN
2022-03-04,AMAT,2022-03-04T16:00:00,AMAT
