trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2000-01-03,QQQ,79.92742919921875,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-04,QQQ,74.44428253173828,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-05,QQQ,72.54625701904297,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-06,QQQ,67.56398010253906,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-07,QQQ,75.92049407958984,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-10,QQQ,78.02940368652344,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-11,QQQ,74.23340606689453,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-12,QQQ,72.59899139404297,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-13,QQQ,76.9749526977539,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-14,QQQ,78.76750946044922,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-18,QQQ,79.18931579589844,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-19,QQQ,80.98188781738281,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-20,QQQ,80.1910171508789,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-21,QQQ,81.19275665283203,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-24,QQQ,77.29125213623047,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-25,QQQ,78.45118713378906,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-26,QQQ,75.28781127929688,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-27,QQQ,76.39501190185547,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-28,QQQ,72.54625701904297,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-01-31,QQQ,75.65691375732422,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-01,QQQ,77.68672180175781,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-02,QQQ,78.3457260131836,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-03,QQQ,81.40361022949219,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-04,QQQ,81.95720672607422,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-07,QQQ,83.09074401855469,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-08,QQQ,86.57048034667969,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-09,QQQ,83.51252746582031,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-10,QQQ,86.25411987304688,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-11,QQQ,84.25069427490234,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-14,QQQ,84.14519500732422,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-15,QQQ,84.75154113769531,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-16,QQQ,84.35604858398438,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-17,QQQ,86.14867401123047,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-18,QQQ,83.03805541992188,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
2000-02-22,QQQ,83.30167388916016,yfinance,2026-05-02T21:44:23Z,vendor_backward_adjusted
