date,BAMLH0A0HYM2
1996-01-05,1.8582294124114802
1996-01-12,1.8150630433396775
1996-01-19,1.7440669656786274
1996-01-26,1.6229673186565114
1996-02-02,1.6074707875801857
1996-02-09,1.5986584478151036
1996-02-16,1.6262087235058904
1996-02-23,1.6027897135223035
1996-03-01,1.6942411837423799
1996-03-08,1.7724962460155043
1996-03-15,1.7812149908914674
1996-03-22,1.9568158565807727
1996-03-29,2.1057347737676544
1996-04-05,2.0345281445197645
1996-04-12,2.139118831256153
1996-04-19,2.0625837788197154
1996-04-26,2.0309889604547666
1996-05-03,2.0116077412610522
1996-05-10,1.9397070598539616
1996-05-17,1.8865171675939068
1996-05-24,1.8617905045067134
1996-05-31,1.7981384714153061
1996-06-07,1.8079029201764811
1996-06-14,1.8937776715913657
1996-06-21,1.8578824031122885
1996-06-28,1.8260786131149178
1996-07-05,1.8370831938980632
1996-07-12,1.912671756449814
1996-07-19,1.9112141067016224
1996-07-26,1.8625553280464153
1996-08-02,1.855382232320859
1996-08-09,1.7696026284656816
1996-08-16,1.7166578003150845
1996-08-23,1.668001596548892
1996-08-30,1.6905296974058195
1996-09-06,1.7106850756106637
1996-09-13,1.73667485489201
1996-09-20,1.719363697107041
1996-09-27,1.773966471754823
1996-10-04,1.7389069694972776
1996-10-11,1.7146970505939678
1996-10-18,1.6398312244581748
1996-10-25,1.641163814637601
1996-11-01,1.639542419456001
1996-11-08,1.5315994127334278
1996-11-15,1.5140084111969379
1996-11-22,1.5901610296989315
1996-11-29,1.7214737557008997
1996-12-06,1.801326889606591
1996-12-13,1.8944167832611596
1996-12-20,1.9169902182489849
1996-12-27,1.9905300371123005
1997-01-03,1.9969582895558702
1997-01-10,2.0214023015489273
1997-01-17,1.995722090327944
1997-01-24,1.9706005175423673
1997-01-31,1.9244541314994366
1997-02-07,1.8969831183520354
1997-02-14,1.853870015696506
1997-02-21,1.8718410634780667
1997-02-28,1.8313689404480429
1997-03-07,1.8523109255517234
1997-03-14,1.8693637036522404
1997-03-21,1.9339901931018026
1997-03-28,1.9626928673547543
1997-04-04,2.0429772516139018
1997-04-11,2.0874439189371863
1997-04-18,2.171418820727423
1997-04-25,2.2351557155357176
1997-05-02,2.253917177586369
1997-05-09,2.3024208727050084
1997-05-16,2.30972573949266
1997-05-23,2.2723573742441467
1997-05-30,2.2964883659582735
1997-06-06,2.3162810955511213
1997-06-13,2.3012349925945355
1997-06-20,2.2852493188973377
1997-06-27,2.278653808993148
1997-07-04,2.219521845895532
1997-07-11,2.2157153830823315
1997-07-18,2.243860097125373
1997-07-25,2.194369401815928
1997-08-01,2.200439165164274
1997-08-08,2.2205725871263193
1997-08-15,2.328165389475015
1997-08-22,2.2782291170422773
1997-08-29,2.2499101358325566
1997-09-05,2.2695090651668215
1997-09-12,2.349233302385255
1997-09-19,2.4128575045300202
1997-09-26,2.458271752611202
1997-10-03,2.5295800408654876
1997-10-10,2.5288605061429954
1997-10-17,2.631795298904747
1997-10-24,2.7706607172642603
1997-10-31,3.1447008999569785
1997-11-07,3.2005607321384195
1997-11-14,3.2333787820640727
1997-11-21,3.157302279747149
1997-11-28,3.1479057878413808
1997-12-05,3.013722381659996
1997-12-12,3.130630243827412
1997-12-19,3.0773961096407416
1997-12-26,2.98549066396317
1998-01-02,2.8441943224733435
1998-01-09,2.9947935697172094
1998-01-16,2.7655746217536517
1998-01-23,2.6849784694882217
1998-01-30,2.6175669932558807
1998-02-06,2.531472565113657
1998-02-13,2.498079686263637
1998-02-20,2.410409997925078
1998-02-27,2.3696516311765308
1998-03-06,2.36125242419453
1998-03-13,2.408204403252085
1998-03-20,2.434317592196375
1998-03-27,2.514959690910844
1998-04-03,2.576184954124962
1998-04-10,2.5718326000231566
1998-04-17,2.571453820635827
1998-04-24,2.604367844596964
1998-05-01,2.562700542427442
1998-05-08,2.593619335752413
1998-05-15,2.618078940989257
1998-05-22,2.6112823194852326
1998-05-29,2.6982139872534745
1998-06-05,2.669292319572809
1998-06-12,2.7916463196147108
1998-06-19,2.7895742061700886
1998-06-26,2.7608381916383364
1998-07-03,2.728349875393538
1998-07-10,2.7515769971945754
1998-07-17,2.7384867504351744
1998-07-24,2.959978434861606
1998-07-31,3.0979469255493917
1998-08-07,3.3028797648538477
1998-08-14,3.611204099722568
1998-08-21,3.8957173191673133
1998-08-28,4.481889408875065
1998-09-04,4.810954212924278
1998-09-11,5.244201396528413
1998-09-18,5.5835538809116105
1998-09-25,5.875402531494398
1998-10-02,6.235487765002519
1998-10-09,6.353464386569363
1998-10-16,6.513262771149205
1998-10-23,6.349072223779784
1998-10-30,6.21975833000268
1998-11-06,5.9733939833519205
1998-11-13,5.879554895567509
1998-11-20,5.594014349819243
1998-11-27,5.457436725301193
1998-12-04,5.554401843871904
1998-12-11,5.5011473994352835
1998-12-18,5.421526336117897
1998-12-25,5.15491923026303
1999-01-01,5.198520524593161
1999-01-08,5.051893119099893
1999-01-15,5.16192309219559
1999-01-22,5.104186339004614
1999-01-29,4.909407219488057
1999-02-05,4.783635008959612
1999-02-12,4.570871936873966
1999-02-19,4.500056589752694
1999-02-26,4.304564590798157
1999-03-05,4.173148305670524
1999-03-12,4.199422910992941
1999-03-19,4.136800149160651
1999-03-26,4.096073932102316
1999-04-02,4.029731265952204
1999-04-09,4.018905469521334
1999-04-16,3.970466784552227
1999-04-23,3.9286311642953127
1999-04-30,3.920154965773511
1999-05-07,3.8821721245676173
1999-05-14,3.8808227385550738
1999-05-21,3.9762713034985793
1999-05-28,4.003792724227664
1999-06-04,3.9876551138562206
1999-06-11,4.0621828005702
1999-06-18,4.123709062028969
1999-06-25,4.213986122251146
1999-07-02,4.25486505111768
1999-07-09,4.321904477804493
1999-07-16,4.477827797378353
1999-07-23,4.7171044848643895
1999-07-30,4.856040836626345
1999-08-06,4.9816348746469545
1999-08-13,5.046679722802354
1999-08-20,5.091108853409477
1999-08-27,5.128923827546901
1999-09-03,5.196501737201557
1999-09-10,5.266310972210909
1999-09-17,5.3560976400610985
1999-09-24,5.592388251430155
1999-10-01,5.465526689311109
1999-10-08,5.413119655512698
1999-10-15,5.583924608460929
1999-10-22,5.372652487404384
1999-10-29,5.341016036163658
1999-11-05,5.245937510251266
1999-11-12,5.045274400932617
1999-11-19,4.8378597554844545
1999-11-26,4.856361278862888
1999-12-03,4.746071584548288
1999-12-10,4.784970263233895
1999-12-17,4.769959928563077
1999-12-24,4.722932464958522
1999-12-31,4.639422597130148
2000-01-07,4.522211681935559
2000-01-14,4.453384618861442
2000-01-21,4.3462752604832415
2000-01-28,4.381317378082864
2000-02-04,4.293918839983481
2000-02-11,4.46461759743889
2000-02-18,4.602798408865577
2000-02-25,4.793679034361275
2000-03-03,4.704660981636483
2000-03-10,4.971886670032054
2000-03-17,5.151676709339
2000-03-24,5.2418626143915805
2000-03-31,5.495103181000614
2000-04-07,5.652629301884348
2000-04-14,5.954973325050259
2000-04-21,5.806325715433036
2000-04-28,5.815138947983098
2000-05-05,5.924322251680435
2000-05-12,6.105961413395894
2000-05-19,6.1850130843775295
2000-05-26,6.189210721210069
2000-06-02,6.163937275872069
2000-06-09,6.044247943989613
2000-06-16,6.016140622210341
2000-06-23,5.971312776615415
2000-06-30,5.887164547774486
2000-07-07,5.746783553755675
2000-07-14,5.502882800114771
2000-07-21,5.385285758020402
2000-07-28,5.271810160734052
2000-08-04,5.168290038296275
2000-08-11,5.160993496615557
2000-08-18,5.054290568826692
2000-08-25,5.017300008405124
2000-09-01,5.043669140839038
2000-09-08,5.038539109098661
2000-09-15,5.11258317562944
2000-09-22,5.1338115956803785
2000-09-29,5.148977364330948
2000-10-06,5.212064360154676
2000-10-13,5.416384839605724
2000-10-20,5.403871342600302
2000-10-27,5.411349043045382
2000-11-03,5.35994525688151
2000-11-10,5.477080520329229
