trade_date,ticker,close,source_name,fetch_timestamp,price_basis
2000-01-03,QQQ,94.75,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-04,QQQ,88.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-05,QQQ,86.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-06,QQQ,80.09375,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-07,QQQ,90.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-10,QQQ,92.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-11,QQQ,88.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-12,QQQ,86.0625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-13,QQQ,91.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-14,QQQ,93.375,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-18,QQQ,93.875,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-19,QQQ,96.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-20,QQQ,95.0625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-21,QQQ,96.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-24,QQQ,91.625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-25,QQQ,93.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-26,QQQ,89.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-27,QQQ,90.5625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-28,QQQ,86.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-01-31,QQQ,89.6875,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-01,QQQ,92.09375,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-02,QQQ,92.875,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-03,QQQ,96.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-04,QQQ,97.15625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-07,QQQ,98.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-08,QQQ,102.625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-09,QQQ,99.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-10,QQQ,102.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-11,QQQ,99.875,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-14,QQQ,99.75,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-15,QQQ,100.46875,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-16,QQQ,100.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-17,QQQ,102.125,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-18,QQQ,98.4375,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-22,QQQ,98.75,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-23,QQQ,104.25,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-24,QQQ,106.5,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-25,QQQ,104.0625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-28,QQQ,104.0,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-02-29,QQQ,106.75,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
2000-03-01,QQQ,107.625,yahoo_finance_cache,2026-04-27T17:57:03Z,vendor_raw_close
