week_end,first_published_at,latest_published_at,run_count,initial_mode,latest_mode,initial_k_hat,latest_k_hat,delta_s,delta_h,delta_rho,material_revision,revision_reason,p_t_changed,delta_p_max,drift_flag_changed,initial_drift_flag,latest_drift_flag,initial_source_hash,latest_source_hash,initial_snapshot_path,latest_snapshot_path
2026-04-24,2026-04-29T09:50:06Z,2026-04-29T09:50:06Z,1,degraded,degraded,,,,,,False,,False,,False,0,0,debcd3ee9bd83892b3fff8181e88c4a1aafe2e27230ece043359a9df30e1b62f,debcd3ee9bd83892b3fff8181e88c4a1aafe2e27230ece043359a9df30e1b62f,outputs/phase14/history/cycle_snapshot_2026-04-24__run_2026-04-29T09-50-06Z.json,outputs/phase14/history/cycle_snapshot_2026-04-24__run_2026-04-29T09-50-06Z.json
2026-05-01,2026-04-28T23:09:10Z,2026-04-29T09:50:37Z,4,degraded,degraded,,,,,,False,,False,,False,0,0,49c692dfefab4f9d1e8047c1342c81029c8983a6821e0517b741e352c46669cb,1a28042b6f546e6bdec340122336df19ea4105e991914c63a0cff05791dee683,outputs/phase14/history/cycle_snapshot_2026-05-01__run_2026-04-28T23-09-10Z.json,outputs/phase14/history/cycle_snapshot_2026-05-01__run_2026-04-29T09-50-37Z.json
