week_end,L_t,T_t,P_t,E_t,H_t,I_t,state_probs_json,state_label,d_t,a_t,g_t_raw,g_t_stress,s_t,drift_probe_raw,drift_flag,maha,huber_weight,eigval_1,eigval_2_raw,eigval_2_reg,condition_number_raw,condition_number_reg,eigval_2_was_floored,state_ok,is_warm
2009-11-06,0.8061480391885024,1.1421545753646831,0.7758345217534665,4.885653050199187,0.9161719474914066,0.11641437656344028,,WARMUP,0.11940571222609447,0.30267743285644927,0.21104157254127187,1.4071597425425466,0.8033175739321234,-0.24883311164445718,0,1.790959667905926,1.0,0.5598166287128132,0.09693482389356949,0.09693482389356949,5.7751859056087955,5.7751859056087955,False,True,False
2009-11-13,0.8769848708729389,1.3004345308964482,0.844032433602435,3.8519319689604092,1.016954142563541,0.07467402195885452,,WARMUP,0.1737343865936724,0.07171071115064431,0.12272254887215836,0.6659776484546357,0.660601903138684,-0.24873087228330848,0,1.864939743463907,1.0,0.57156719560406,0.09616504189097487,0.09616504189097487,5.943606786466775,5.943606786466775,False,True,False
2009-11-20,1.0761510626769721,1.1916920561173452,0.8359227056578231,3.564609049291736,1.0565333211263155,0.20709707390112556,,WARMUP,0.22690565597599982,0.1935419106262379,0.21022378330111885,0.6672405757262558,0.6608850028514036,-0.24391282380699608,0,1.992388046856629,1.0,0.583804499135619,0.09576800309309633,0.09576800309309633,6.09602873903616,6.09602873903616,False,True,False
2009-11-27,1.0668665918854643,1.1723629926988024,0.7096604356117615,0.0,1.0144887931017068,0.3316692037501836,,WARMUP,0.3246327918846737,0.15542566873863103,0.24002923031165235,-0.23697463119094742,0.44103203946151404,-0.24143472946974187,0,2.0775941641761273,1.0,0.5945878690977799,0.09593378389869574,0.09593378389869574,6.197898643564956,6.197898643564956,False,True,False
2009-12-04,0.7509231080197074,1.2256429950770584,0.9490335570463669,1.5027370883785354,0.9666026807464451,0.03207386738789519,,WARMUP,0.1857882938254997,0.4759827281433046,0.33088551098440216,0.4015294955568348,0.5990550823243502,-0.2402080890086369,0,1.6748224298533432,1.0,0.604035170875366,0.09509258138026412,0.09509258138026412,6.352074600434916,6.352074600434916,False,True,False
2009-12-11,0.6644718194280811,1.2001339757247005,0.9182710774913284,4.655474717206368,0.9154033886477096,-0.12149896349617452,,WARMUP,0.37118361233180375,0.19938771124606425,0.285285661788934,1.1522608070447486,0.7599236202784099,-0.23901789691220934,0,1.6335171040614573,1.0,0.612064003908326,0.09438786480876017,0.09438786480876017,6.484562450357709,6.484562450357709,False,True,False
2009-12-18,0.6882351784802465,1.224527187778536,0.9000891408620962,4.9922316043935115,0.9289008723301102,-0.17127411555915095,,WARMUP,0.3849970699280376,0.012958584639804654,0.19897782728392113,1.0040026031833942,0.7318448099953018,-0.23319241800333346,0,1.671700474233845,1.0,0.6201096285715371,0.09380505817603377,0.09380505817603377,6.610620371961655,6.610620371961655,False,True,False
2009-12-25,0.32680601571449397,1.3977938791646127,1.0098992888649938,5.0,0.8724250862096605,-0.2423532514950956,,WARMUP,0.4303845437914674,0.06347134748832252,0.24692794563989495,1.0201425360649958,0.7350003628341868,-0.22734485760688258,0,1.6737785862244488,1.0,0.6267042836111043,0.09346308114284979,0.09346308114284979,6.705367252479554,6.705367252479554,False,True,False
2010-01-01,0.3613812530271395,1.3344836307656684,0.8651458429047866,5.0,0.8279082327050363,-0.178896279618017,,WARMUP,0.2766824400535781,0.1559996739577373,0.2163410570056577,0.9419330690170042,0.7194899629204617,-0.219293696076136,0,1.5088093876761395,1.0,0.632114818303634,0.09288051342834046,0.09288051342834046,6.805677477131151,6.805677477131151,False,True,False
2010-01-08,0.573510596391252,1.3917703479087125,1.0127101721908571,5.0,0.9697014033722644,0.030898119076694798,,WARMUP,0.10214777827616946,0.371072186069891,0.23660998217303023,0.9951770815636908,0.730109279275415,-0.22763036993846097,0,1.5667707344094965,1.0,0.640094662219772,0.09208119740197425,0.09208119740197425,6.951415492844668,6.951415492844668,False,True,False
2010-01-15,0.670852461009173,1.1991983178992873,0.9382314192786307,4.5110263623630384,0.9226182504880773,-0.008661564016004476,,WARMUP,0.020177764394872687,0.08605215908946288,0.05311496174216779,0.28192367078649094,0.5700177742297776,-0.23289097181525492,0,1.4773251019717717,1.0,0.646786837075098,0.09126714478581294,0.09126714478581294,7.086743412352679,7.086743412352679,False,True,True
2010-01-22,0.8652726926899577,0.9014665725292446,0.40144025053926324,0.0,0.7619824400960344,-0.0013566611680247143,"[0.0051156603, 0.079056895, 0.2392504752, 0.3356474788, 0.3409294908]",S4,0.0975334961233931,0.11717238072135919,0.10735293842237614,-0.6090415534243572,0.3522778635291608,-0.22714601828654848,0,1.2569916241292216,1.0,0.6500986984997548,0.09046069122697888,0.09046069122697888,7.1865325113265355,7.1865325113265355,False,True,True
2010-01-29,0.9999535256913833,0.6971796525002539,0.4122172244772383,3.474086792349844,0.7470485947709518,0.03750921916698788,"[0.005405282, 0.0852554894, 0.2351653383, 0.3337139944, 0.3404598958]",S4,0.11347342699189085,0.05411457879270609,0.08379400289229846,0.18919012015799364,0.5471569568505495,-0.22149769124976446,0,1.233043290794701,1.0,0.6529402650423244,0.08968117634167609,0.08968117634167609,7.28068354673102,7.28068354673102,False,True,True
2010-02-05,0.8503486010552284,0.6878904309887299,0.35734074377222297,4.322067133314087,0.6702362772112026,-0.20381885842773342,"[0.008599531, 0.0765387201, 0.2887231988, 0.3189477248, 0.3071908253]",S5,0.33380330151436377,0.36731372678965424,0.350558514152009,1.1282887515624531,0.7555229560133676,-0.21611854425981178,0,1.2986764055272186,1.0,0.6544436745362657,0.08922223117602296,0.08922223117602296,7.334984408147562,7.334984408147562,False,True,True
2010-02-12,0.6130591992679588,0.7520545996697681,0.519410860336942,5.0,0.6382955046758378,-0.2468038581278006,"[0.0101418854, 0.0785282353, 0.3021740051, 0.3112089893, 0.2979468848]",S5,0.35105171614364283,0.016432142408857278,0.18374192927625005,0.8289574104099845,0.6961344346181699,-0.21226997950940998,0,1.3320979478075086,1.0,0.6553369488823064,0.0889174429934495,0.0889174429934495,7.370173127117305,7.370173127117305,False,True,True
2010-02-19,0.4292431987979152,0.8359258320927659,0.6625975855582367,5.0,0.6299207171411934,-0.18544550207317012,"[0.0093728688, 0.0797285562, 0.2705375805, 0.3598785837, 0.2804824109]",S5,0.21769663535092182,0.1410709711998213,0.17938380327537157,0.8291191151218373,0.6961686391385249,-0.20841216184785502,0,1.1955460377887037,1.0,0.6559544737904404,0.08838224666566738,0.08838224666566738,7.42178999218912,7.42178999218912,False,True,True
2010-02-26,0.5799485909378213,0.7936709886574218,0.6825233417861712,5.0,0.680395117851769,-0.12699384306784406,"[0.0081516171, 0.0827768755, 0.2643440939, 0.343433431, 0.3012939826]",S5,0.09052187854606084,0.13208440886275644,0.11130314370440864,0.6431853065745168,0.6554731481407128,-0.20851196660195917,0,1.1581430565988342,1.0,0.6571998916390379,0.08769831791994821,0.08769831791994821,7.493871116649418,7.493871116649418,False,True,True
2010-03-05,0.4558344784845585,0.9488897997157029,0.7901025191431423,4.498417819920711,0.7119708510801049,-0.032404895593059174,"[0.007341363, 0.0925672345, 0.2576808233, 0.3119823681, 0.3304282111]",S4,0.09632224433498411,0.15570467008286965,0.12601345720892687,0.5777065448895883,0.6405395117847604,-0.20824644205814943,0,1.1262247395128455,1.0,0.6587561694699416,0.0869229915011397,0.0869229915011397,7.578618246949132,7.578618246949132,False,True,True
2010-03-12,0.5096989363517418,1.014079178042548,0.799517390408958,2.448387125223515,0.7586866344578279,0.08294854806812867,"[0.006270325, 0.1038466184, 0.2467413275, 0.2757482504, 0.3673934787]",S4,0.25437216915142696,0.16501770851675077,0.20969493883408885,0.25652650786075937,0.5637822396104226,-0.21000902842897254,0,1.2241897832855015,1.0,0.6608633014853247,0.0862581340873854,0.0862581340873854,7.661460666605944,7.661460666605944,False,True,True
2010-03-19,0.5511173200304734,0.9945752394884912,0.9085168783188173,4.210593378048651,0.7956774814128657,0.1577157413871128,"[0.0055180713, 0.1080383351, 0.2318160672, 0.2456876873, 0.4089398391]",S4,0.332068134037533,0.07889863103445592,0.20548338253599446,0.5677081153034848,0.6382341667073886,-0.2114415356537306,0,1.3491755368523155,1.0,0.6633969557080591,0.08578654760568473,0.08578654760568473,7.733111708345499,7.733111708345499,False,True,True
2010-03-26,0.32014662853818066,1.0121269827353472,0.9084851631106325,2.582467886743015,0.7094243861503018,-0.019171818711550423,"[0.0082363357, 0.0983911543, 0.2612567717, 0.3043305185, 0.3277852198]",S4,0.035309621291052216,0.3284723975418267,0.18189100941643946,0.12456817849915547,0.5311018371558951,-0.21657452825228,0,1.0861376676421617,1.0,0.6644515363518451,0.08502759257449291,0.08502759257449291,7.814540153770874,7.814540153770874,False,True,True
