week_end,strategy,qqq_buyhold,shy_buyhold,static_6040
2021-04-09,1.0025998546666166,1.0129446555224777,1.0001157815422448,1.0078131059303845
2021-04-16,1.0023765719970619,1.0108018269106438,1.0003476042862336,1.00662736485046
2021-04-23,1.0020173845921292,1.0094928206282174,1.0004863755332856,1.0059010616401975
2021-04-30,0.9973964936980961,0.9902983526918038,1.000834802654783,0.9945654821717613
2021-05-07,0.988966172003228,0.9660454950466137,1.000602783048012,0.9798588387321858
2021-05-14,0.9922825133480156,0.9801506898267596,1.0008347970395417,0.988533850076694
2021-05-21,0.9982455280382685,0.9977974034503571,1.0009738973263749,0.9992673931742897
2021-05-28,0.9978675064864975,0.9970534103009117,1.0009738973263749,0.9988203396387233
2021-06-04,1.0098198035418031,1.016783618618161,1.000974237762386,1.0106795794572017
2021-06-11,1.0109729470216582,1.0201972985411276,0.9986539717898065,1.0117783862286307
2021-06-18,1.0288034591794737,1.0450742500706596,0.999233571834079,1.026816269694407
2021-06-25,1.0488798976965783,1.0703387082626559,0.9997326873804137,1.0419152720480842
2021-07-02,1.0564718308572008,1.079842595106897,1.0001967726029688,1.0476596422810371
2021-07-09,1.0342568579412017,1.0548165602808064,1.0005444529526732,1.0332372091563462
2021-07-16,1.0607032804018675,1.094858284877829,1.000776743150692,1.0568666938227107
2021-07-23,1.0582251485694303,1.0912534957462885,1.001264074665806,1.0549847299506059
2021-07-30,1.0635361976509523,1.0979270139357307,1.0004520128746412,1.0585135082476353
2021-08-06,1.061451884260701,1.0953946935619412,1.000451991886658,1.0570486504514933
2021-08-13,1.0641680212571811,1.09876095667803,1.000103704370921,1.0588505072588252
2021-08-20,1.0813669299823574,1.12274458612613,1.0006840015454224,1.0729637421690401
2021-08-27,1.0915443514103846,1.1371342512262932,1.000602774760815,1.0811798937457957
2021-09-03,1.0848570843214949,1.1291201207186592,1.0006027157865147,1.076607998174406
2021-09-10,1.0574439782949765,1.0959827408546878,1.000486274701477,1.0576001303181026
2021-09-17,1.0631603012690942,1.1041550007751064,0.9992096627844848,1.0617919694683517
2021-09-24,1.0374941807010778,1.0693181226773263,0.999917819418851,1.0419927968337221
2021-10-01,1.0384187312022866,1.0724798826797726,0.9984088517470298,1.0432123904501631
2021-10-08,1.0507367968922647,1.096429969346793,0.9969001914395896,1.0565597456731348
2021-10-15,1.0646314798024317,1.120141683244002,0.9963201033727574,1.0700235055794873
2021-10-22,1.0838773960358599,1.1529502005276306,0.9958675235003637,1.0886334268088047
2021-10-29,1.1110748040002256,1.18877100839481,0.9977247114656956,1.109739038220615
2021-11-05,1.1051539635328986,1.1808371339761763,0.9958673691404837,1.104468843566803
2021-11-12,1.1220939436825357,1.2096492330347854,0.9947062908035309,1.1201230053507931
2021-11-19,1.105336919973019,1.1807778488109097,0.996099428620883,1.1047097549394491
2021-11-26,1.0765765982180757,1.1442112321946896,0.9949380816073113,1.0836680120623492
2021-12-03,1.0919262461795602,1.187071173890844,0.993660561416116,1.1074666973888903
2021-12-10,1.0594251795674834,1.1335479816452054,0.9949149473419743,1.0780655486391582
2021-12-17,1.0862667205536567,1.189333677682702,0.9931721565215053,1.1091433021174306
2021-12-24,1.0875396927957588,1.191722954472889,0.992707758567764,1.1102727605505633
2021-12-31,1.0508083522096108,1.1193624396002553,0.9906165882265373,1.0688882781680518
2022-01-07,1.048546887540489,1.117033062421098,0.9885253291839302,1.0666510751010714
2022-01-14,1.010473009224026,1.0330258059454356,0.9894547300478869,1.018921270413068
2022-01-21,1.0108729497918114,1.0547964611791054,0.986666677659373,1.03065688179286
2022-01-28,1.01116146607074,1.070982607869692,0.9844938457474021,1.0392384298904587
2022-02-04,0.9997533349878662,1.034757631697486,0.9793808377683358,1.0159887438452107
2022-02-11,0.9948798271435334,1.0108666683240386,0.98100710867641,1.0025889961550623
2022-02-18,0.9980149732085429,1.0228718483771964,0.9826342047070816,1.0103982768586461
2022-02-25,0.9949589737555267,1.0072828512675638,0.9817627447043886,1.0008005069273296
2022-03-04,0.9843304206755081,0.9649950389931171,0.9767637454303149,0.9735527301123345
2022-03-11,0.994144985451766,1.0471302623999437,0.9733930258058398,1.0219270396465356
2022-03-18,0.9966531845715818,1.074459584227084,0.9680460895425679,1.0356845463071076
2022-03-25,0.998380249329551,1.0845362598550312,0.9671852481748057,1.0411439680523988
2022-04-01,0.984546200439409,1.0310137599538751,0.9655571387681029,1.0096142860576534
2022-04-08,0.9806074987508131,1.0087074607013997,0.9675341604041804,0.9973351892691042
2022-04-15,0.9691805000336859,0.9679823997689586,0.9657897811119972,0.9724563926453665
2022-04-22,0.9596651625716779,0.9353904835209395,0.9642082337588185,0.9521738736786421
2022-04-29,0.9534611882893306,0.9074331848103457,0.9657207918308468,0.935695989412999
2022-05-06,0.9522435026523216,0.897475978514362,0.9676987618945367,0.9303021796120068
2022-05-13,0.9442437625200908,0.8663791954981415,0.9682805569208958,0.9111853944080769
2022-05-20,0.9617588469677336,0.9241477675020614,0.970258692271959,0.9483836920252537
2022-05-27,0.9609884309840961,0.9291710438153348,0.9674061528514886,0.9503614085944966
2022-06-03,0.9191331746121016,0.8364782759077697,0.9584399973437896,0.8899541233798814
2022-06-10,0.9188873898070274,0.8350904101733462,0.9586731130267099,0.889154751700953
2022-06-17,0.9287025693083085,0.8867685008252352,0.9612342667061412,0.9231191841468436
2022-06-24,0.926100765622495,0.8337720936897023,0.9671647413545676,0.8922960002298584
2022-07-01,0.9335744365928703,0.8774215733825643,0.9632016943315134,0.9188614813971177
2022-07-08,0.9348126364696467,0.8829338937834859,0.9618031597685217,0.9217914174249071
