week_end,qqq_adj_close_weekly,r1w,R4w,sigma4w,mdd8w,fwd_ret_1w,fwd_vol_1w,fwd_mdd_1w,fwd_ret_4w,fwd_vol_4w,fwd_mdd_4w,fwd_ret_8w,fwd_vol_8w,fwd_mdd_8w
2021-04-09,327.1416931152344,0.03790794737986449,0.05701369459460628,0.092677042203327,0.10609742845469114,0.014430656414239127,0.08795832416783196,0.012008207365707242,-0.008669459052078545,0.06882418968283285,0.037952317822824204,-0.00448916477278571,0.08151527026590817,0.07344803419472996
2021-04-16,331.8968200683594,0.014430656414239127,0.07087220865784973,0.07516842091455793,0.07463056003253149,-0.00760192514686723,0.08624721596978749,0.01991173999323623,-0.046746875171702486,0.09082533151392662,0.07344803419472996,-0.0022538172715258586,0.07735429842377027,0.07344803419472996
2021-04-23,329.3834228515625,-0.00760192514686723,0.07178046195272517,0.07463586694210045,0.0730860376414073,-0.004221631129821565,0.031648467018467095,0.010654750568209486,-0.03724712765717826,0.09056619907811282,0.07241747166270647,0.009413242167518536,0.07641919338777664,0.07241747166270647
2021-04-30,327.9956970214844,-0.004221631129821565,0.020747130115345278,0.06082708191125321,0.031614941851889095,-0.011276559189628879,0.08871101353842394,0.026509981658508847,-0.012084997415438453,0.09522260569633643,0.062427874526075795,0.034532063952572044,0.07648924543876229,0.062427874526075795
2021-05-07,324.3177795410156,-0.011276559189628879,-0.007363449088500013,0.06882418968283285,0.037952317822824204,-0.02364675970538487,0.1457053214165858,0.05179545105100607,0.004180294279292777,0.08536387210000117,0.05179545105100607,0.07173870992539311,0.06632999718987156,0.05179545105100607
2021-05-14,316.7386779785156,-0.02364675970538487,-0.03755305721336062,0.09082533151392662,0.07344803419472996,0.0018978223676570933,0.08624624007616473,0.012776120461390202,0.044493057900176575,0.05931024692012129,0.012776120461390202,0.10197183822606894,0.05238597372299255,0.012776120461390202
2021-05-21,317.3403625488281,0.0018978223676570933,-0.04373741538895548,0.09056619907811282,0.07344803419472996,0.020940499111918233,0.02407161351294086,0.0037408881322260473,0.04666036982469676,0.05210249409187793,0.012360639046506937,0.09058344858272899,0.04621752889977875,0.015066000211962012
2021-05-28,324.0557556152344,0.020940499111918233,-0.00674519266940205,0.09522260569633643,0.07344803419472996,0.0049887325051023,0.09852305338241577,0.011769189665963438,0.04661706136801037,0.052874923506404325,0.011769189665963438,0.09885434902515569,0.050040675194224664,0.02313586981206756
2021-06-04,325.67633056640625,0.0049887325051023,0.02975889321200049,0.08536387210000117,0.07344803419472996,0.016666003915498932,0.03425813070920792,-0.0,0.06755841564610024,0.04560380525542879,0.010159293961200874,0.08395779373905224,0.047515779592663294,0.02313586981206756
2021-06-11,331.14959716796875,0.016666003915498932,0.0505778826060588,0.05931024692012129,0.07241747166270647,0.004065134292177068,0.06842432838179584,0.010159293961200874,0.05747878032589222,0.04642748641040497,0.010159293961200874,0.07679226109023624,0.04670888875993766,0.02313586981206756
2021-06-18,332.4984436035156,0.004065134292177068,0.029981358565347734,0.05210249409187793,0.07241747166270647,0.020897190655231972,0.03527765552162338,0.0012288272384531715,0.04392307875803226,0.04181200108595188,0.015066000211962012,0.07481673497139082,0.04257084868989712,0.02313586981206756
2021-06-25,339.5198974609375,0.020897190655231972,0.04661706136801037,0.052874923506404325,0.05740803187869632,0.025930086783192325,0.04122854659841703,0.0015774979491553333,0.052237287657145214,0.0471737705980142,0.02313586981206756,0.05095998305253213,0.0444066260842069,0.02313586981206756
2021-07-02,348.4387512207031,0.025930086783192325,0.06458320736567803,0.04560380525542879,0.02722885706664911,0.006586368595291145,0.045077662069663155,0.00603950002362681,0.0163993780929519,0.04986564983325277,0.02313586981206756,0.04737621807243118,0.04734104463084979,0.02313586981206756
2021-07-09,350.74139404296875,0.006586368595291145,0.04794178822316246,0.04642748641040497,0.012360639046506937,-0.009490567275682928,0.035865058640968235,0.015066000211962012,0.01931348076434388,0.04841331056502088,0.02313586981206756,0.0553885883684929,0.04705476257811426,0.02313586981206756
2021-07-16,347.4283142089844,-0.009490567275682928,0.037727436079631006,0.04181200108595188,0.015066000211962012,0.029211399554344947,0.018768398299795822,0.008193310010459807,0.030893656213358617,0.04213585412377631,0.011017942878614241,0.05174206149120965,0.04574149036597705,0.02018015102994428
2021-07-23,357.7268371582031,0.029211399554344947,0.0401490918084718,0.0471737705980142,0.02313586981206756,-0.00990782278100102,0.049139090600480335,0.011017942878614241,-0.001277304604613155,0.04249049131721843,0.02018015102994428,0.015174932664672888,0.04455358356717051,0.021668860148477208
2021-07-30,354.2001037597656,-0.00990782278100102,0.0163993780929519,0.04986564983325277,0.02313586981206756,0.009500471266682926,0.03622174241481935,0.004382013039231214,0.030976839979479212,0.047231492285812735,0.02018015102994428,0.024852164496523305,0.05089337922621421,0.04188476123381913
2021-08-06,357.58111572265625,0.009500471266682926,0.015415264220379619,0.04841331056502088,0.02313586981206756,0.002089608173331714,0.030755072631388554,0.006834220031626562,0.0360751076041491,0.04798688120267733,0.018347767873256635,-0.020506909076293614,0.061456642500680926,0.062163137503771115
2021-08-13,358.3292541503906,0.002089608173331714,0.039120715862203045,0.04213585412377631,0.02313586981206756,-0.0029595612636268607,0.07191235683188123,0.018347767873256635,0.020848405277850993,0.051435684751284926,0.018347767873256635,-0.019879508183662496,0.06926742296031661,0.07615363305529137
2021-08-20,357.270263671875,-0.0029595612636268607,-0.0020646591167825285,0.04249049131721843,0.02313586981206756,0.02234632180309139,0.04759771825202336,0.006350091249562681,0.01645223726928588,0.04183399449708055,0.021668860148477208,0.004392989713510113,0.06920595927466158,0.07615363305529137
2021-08-27,365.34381103515625,0.02234632180309139,0.030894389076812696,0.047231492285812735,0.02313586981206756,0.014598738891352867,0.013234680595216807,0.0008153025767939445,-0.006124675482955966,0.05233855856699982,0.04188476123381913,-0.00406418473815937,0.06914887097795779,0.07615363305529137
