date,qqq_adj_close
2021-01-05,302.25653076171875
2021-01-06,298.0696716308594
2021-01-07,305.2804260253906
2021-01-08,309.2057800292969
2021-01-11,304.7377624511719
2021-01-12,304.2531433105469
2021-01-13,306.3078918457031
2021-01-14,304.6700134277344
2021-01-15,302.25653076171875
2021-01-19,306.6664123535156
2021-01-20,313.7998352050781
2021-01-21,316.30999755859375
2021-01-22,315.3990173339844
2021-01-25,318.0061340332031
2021-01-26,318.4713439941406
2021-01-27,309.593505859375
2021-01-28,311.4253234863281
2021-01-29,304.8734436035156
2021-02-01,312.4914245605469
2021-02-02,317.5894775390625
2021-02-03,316.3294372558594
2021-02-04,320.07049560546875
2021-02-05,321.1560974121094
2021-02-08,323.3077392578125
2021-02-09,323.2398986816406
2021-02-10,322.5032958984375
2021-02-11,324.27691650390625
2021-02-12,326.0894470214844
2021-02-16,325.20733642578125
2021-02-17,323.6469421386719
2021-02-18,322.2319030761719
2021-02-19,320.8265380859375
2021-02-22,312.51080322265625
2021-02-23,311.580322265625
2021-02-24,314.1487731933594
2021-02-25,303.19671630859375
2021-02-26,304.4664001464844
2021-03-01,313.62530517578125
2021-03-02,308.5951843261719
2021-03-03,299.6398010253906
2021-03-04,294.73553466796875
2021-03-05,299.174560546875
2021-03-08,290.70367431640625
2021-03-09,302.1692810058594
2021-03-10,301.3067932128906
2021-03-11,308.2462463378906
2021-03-12,305.74578857421875
2021-03-15,309.0118713378906
2021-03-16,310.7080383300781
2021-03-17,311.9874267578125
2021-03-18,302.4310302734375
2021-03-19,303.4971618652344
2021-03-22,309.188720703125
2021-03-23,307.83990478515625
2021-03-24,302.6480712890625
2021-03-25,302.12396240234375
2021-03-26,306.6559143066406
2021-03-29,306.5686340332031
2021-03-30,305.0256652832031
2021-03-31,309.69342041015625
2021-04-01,314.9725341796875
2021-04-05,321.2608337402344
2021-04-06,321.0376892089844
2021-04-07,321.81402587890625
2021-04-08,325.1717224121094
2021-04-09,327.1416931152344
2021-04-12,326.7147216796875
2021-04-13,330.5285339355469
2021-04-14,326.5594787597656
2021-04-15,331.5085754394531
2021-04-16,331.89678955078125
2021-04-19,328.859375
2021-04-20,326.4624938964844
2021-04-21,329.25726318359375
2021-04-22,325.28814697265625
2021-04-23,329.38330078125
2021-04-26,331.5280456542969
2021-04-27,330.091796875
2021-04-28,328.9757995605469
2021-04-29,330.1597900390625
2021-04-30,327.9956970214844
2021-05-03,326.2489318847656
2021-05-04,320.3777770996094
2021-05-05,319.300537109375
2021-05-06,321.7073059082031
2021-05-07,324.31781005859375
2021-05-10,316.1274108886719
2021-05-11,315.6905517578125
2021-05-12,307.5196228027344
2021-05-13,309.89715576171875
2021-05-14,316.73870849609375
2021-05-17,314.8172607421875
2021-05-18,312.6920166015625
2021-05-19,313.0509948730469
2021-05-20,319.1065673828125
2021-05-21,317.34039306640625
2021-05-24,322.6777038574219
2021-05-25,323.1241455078125
2021-05-26,324.2497863769531
2021-05-27,323.03680419921875
2021-05-28,324.05572509765625
2021-06-01,322.97857666015625
2021-06-02,323.6093444824219
2021-06-03,320.2418518066406
2021-06-04,325.6763916015625
2021-06-07,326.64678955078125
2021-06-08,326.8020324707031
2021-06-09,326.8796691894531
2021-06-10,330.2859191894531
2021-06-11,331.14959716796875
2021-06-14,334.3228759765625
2021-06-15,332.13934326171875
2021-06-16,330.9263916015625
2021-06-17,335.12835693359375
2021-06-18,332.4985046386719
2021-06-21,334.56494140625
2021-06-22,337.6836242675781
2021-06-23,337.8487548828125
2021-06-24,339.9376220703125
2021-06-25,339.5198974609375
2021-06-28,343.64898681640625
2021-06-29,344.8926086425781
2021-06-30,344.3485412597656
2021-07-01,344.4845275878906
2021-07-02,348.4388122558594
2021-07-06,349.9446716308594
2021-07-07,350.6830749511719
2021-07-08,348.56512451171875
2021-07-09,350.7413330078125
2021-07-12,352.11126708984375
2021-07-13,352.11126708984375
2021-07-14,352.7427673339844
2021-07-15,350.26531982421875
2021-07-16,347.4283447265625
2021-07-19,344.5817565917969
2021-07-20,348.5845642089844
2021-07-21,351.2757568359375
2021-07-22,353.5978088378906
2021-07-23,357.7268981933594
2021-07-26,358.0086669921875
2021-07-27,354.06414794921875
2021-07-28,355.4242248535156
2021-07-29,356.0558166503906
2021-07-30,354.2001037597656
2021-08-02,354.22930908203125
2021-08-03,356.37640380859375
2021-08-04,356.89129638671875
2021-08-05,359.155029296875
2021-08-06,357.5812072753906
2021-08-09,358.2417907714844
2021-08-10,356.4054870605469
2021-08-11,355.7934875488281
2021-08-12,357.07586669921875
2021-08-13,358.3291931152344
2021-08-16,358.484619140625
2021-08-17,355.3271484375
2021-08-18,351.9072265625
2021-08-19,353.6074523925781
2021-08-20,357.270263671875
2021-08-23,362.61376953125
2021-08-24,363.7213439941406
2021-08-25,364.13916015625
2021-08-26,361.82684326171875
2021-08-27,365.34381103515625
2021-08-30,369.4438171386719
2021-08-31,369.1426086425781
2021-09-01,369.7546691894531
2021-09-02,369.5799255371094
2021-09-03,370.71649169921875
2021-09-07,371.24114990234375
2021-09-08,369.9490661621094
2021-09-09,368.6763000488281
2021-09-10,365.8782043457031
2021-09-13,365.6256103515625
2021-09-14,364.5860290527344
2021-09-15,367.2966613769531
2021-09-16,367.54931640625
2021-09-17,363.19677734375
2021-09-20,355.6918029785156
2021-09-21,356.1295471191406
2021-09-22,359.4559631347656
2021-09-23,362.7727355957031
2021-09-24,363.113037109375
2021-09-27,360.2146301269531
2021-09-28,350.0213928222656
2021-09-29,349.44757080078125
2021-09-30,348.16363525390625
2021-10-01,350.322998046875
2021-10-04,342.96978759765625
2021-10-05,347.5997314453125
2021-10-06,349.8269958496094
2021-10-07,353.03656005859375
2021-10-08,351.276123046875
2021-10-11,348.5819396972656
2021-10-12,347.3661804199219
2021-10-13,350.14788818359375
2021-10-14,356.5964660644531
2021-10-15,358.84320068359375
2021-10-18,362.4515686035156
2021-10-19,365.1944580078125
2021-10-20,364.7178955078125
2021-10-21,366.9451904296875
2021-10-22,363.86199951171875
2021-10-25,367.5871276855469
2021-10-26,368.74456787109375
2021-10-27,369.6005554199219
2021-10-28,373.70501708984375
2021-10-29,375.5433044433594
2021-11-01,376.82720947265625
2021-11-02,378.40289306640625
2021-11-03,382.4198303222656
2021-11-04,387.3218994140625
2021-11-05,387.6915588378906
2021-11-08,387.1662902832031
2021-11-09,384.5013122558594
2021-11-10,378.8503112792969
2021-11-11,379.9006652832031
2021-11-12,383.898193359375
2021-11-15,383.8106689453125
2021-11-16,386.5438537597656
2021-11-17,386.7481384277344
2021-11-18,390.75531005859375
2021-11-19,392.9339904785156
2021-11-22,388.3723449707031
2021-11-23,386.6021728515625
2021-11-24,387.8470764160156
2021-11-26,380.4940185546875
2021-11-29,388.75177001953125
2021-11-30,383.04241943359375
2021-12-01,376.525634765625
2021-12-02,379.23931884765625
2021-12-03,372.6448669433594
2021-12-06,375.63079833984375
2021-12-07,386.9425354003906
2021-12-08,388.6738586425781
2021-12-09,382.9548034667969
