week_end,k_hat_t,p_t,s_t,h_t,rho_t,I_t,interpretability,mode,degraded_reason,strict_contracts_satisfied
2024-07-05,4.0,"[0.0005885213898924575, 0.08537706725343805, 0.2208484876778025, 0.07812264454751325, 0.6150632791313537]",0.33641481456113875,0.2936602525609676,0.2445862034763968,0.029041445189973952,"{""L"": 0.07494470070871684, ""T"": 0.9563196511056591, ""P"": 0.2960745662024312, ""E"": -1.2342719584888886, ""H"": 0.4387083997210752, ""I"": 0.029041445189973952, ""d"": 0.40103778749959007, ""a"": 0.5403872526582234, ""g_raw"": 0.47071252007890674, ""g_stress"": -0.6793122678744508, ""s"": 0.33641481456113875, ""drift_probe_raw"": -0.12498297719572046, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0005885213898924575, 0.08537706725343805, 0.2208484876778025, 0.07812264454751325, 0.6150632791313537], ""h_t"": 0.2936602525609676, ""rho_t"": 0.2445862034763968}",strict,,True
2024-07-12,4.0,"[0.0009131410484792557, 0.03488367047338743, 0.27620478107194024, 0.2004846336476587, 0.48751377375853444]",0.5148500659233353,0.4070709691006671,0.34353181249435694,-0.14444602520266936,"{""L"": 0.014445432876609654, ""T"": 0.7072603890741573, ""P"": 0.05731001814303803, ""E"": -0.5321886228156733, ""H"": 0.2676468138623584, ""I"": -0.14444602520266936, ""d"": 0.8481552441269782, ""a"": 0.5023969060580389, ""g_raw"": 0.6752760750925085, ""g_stress"": 0.059417738557599964, ""s"": 0.5148500659233353, ""drift_probe_raw"": -0.12503566652873713, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0009131410484792557, 0.03488367047338743, 0.27620478107194024, 0.2004846336476587, 0.48751377375853444], ""h_t"": 0.4070709691006671, ""rho_t"": 0.34353181249435694}",strict,,True
2024-07-19,4.0,"[0.000414003529893572, 0.06164664905535876, 0.21261433790042208, 0.10282017662346007, 0.6225048328908656]",0.37841961473332214,0.5690658394856603,0.35098797411504423,-0.016140939898538736,"{""L"": 0.3281727665761655, ""T"": 0.8512108104364727, ""P"": 0.24591044873821027, ""E"": -0.9822511340037228, ""H"": 0.4906705024677842, ""I"": -0.016140939898538736, ""d"": 0.1867231436907059, ""a"": 0.7617435387936106, ""g_raw"": 0.4742333412421582, ""g_stress"": -0.4962615715114782, ""s"": 0.37841961473332214, ""drift_probe_raw"": -0.12221790700984789, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.000414003529893572, 0.06164664905535876, 0.21261433790042208, 0.10282017662346007, 0.6225048328908656], ""h_t"": 0.5690658394856603, ""rho_t"": 0.35098797411504423}",strict,,True
2024-07-26,4.0,"[0.0009731221369368354, 0.08504822404866057, 0.25978128181759724, 0.08176098781381946, 0.5724363841829859]",0.387236886890667,0.12137257448111918,0.2853836634868554,0.004834096732489889,"{""L"": -0.18645933049181848, ""T"": 0.8459186848184967, ""P"": 0.39764823771088365, ""E"": -1.3062103654526185, ""H"": 0.3208998669174673, ""I"": 0.004834096732489889, ""d"": 0.7073831425896985, ""a"": 0.5746717587528483, ""g_raw"": 0.6410274506712734, ""g_stress"": -0.4589418060075054, ""s"": 0.387236886890667, ""drift_probe_raw"": -0.12153334279499087, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0009731221369368354, 0.08504822404866057, 0.25978128181759724, 0.08176098781381946, 0.5724363841829859], ""h_t"": 0.12137257448111918, ""rho_t"": 0.2853836634868554}",strict,,True
2024-08-02,4.0,"[0.00045153582216839167, 0.10799488802249957, 0.1976498455236755, 0.051540646521981606, 0.6423630841096749]",0.31196173414806794,0.5854475436347232,0.33062952288668457,0.08367669030151123,"{""L"": 0.2585509870391556, ""T"": 0.9684025704642795, ""P"": 0.23731792284596, ""E"": -1.506891213931751, ""H"": 0.50169077518965, ""I"": 0.08367669030151123, ""d"": 0.3861451199743629, ""a"": 0.6071340346131506, ""g_raw"": 0.49663957729375674, ""g_stress"": -0.7909639220310896, ""s"": 0.31196173414806794, ""drift_probe_raw"": -0.1193077222459564, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.00045153582216839167, 0.10799488802249957, 0.1976498455236755, 0.051540646521981606, 0.6423630841096749], ""h_t"": 0.5854475436347232, ""rho_t"": 0.33062952288668457}",strict,,True
2024-08-09,4.0,"[0.0010726434749466162, 0.05071058093140936, 0.28880997962555804, 0.1368740487706673, 0.5225327471974187]",0.45615500834008404,0.11043128014883122,0.336103640750804,-0.08528393068376802,"{""L"": -0.4768483833413448, ""T"": 1.152103181640838, ""P"": 0.19186071641906302, ""E"": -1.1076730018438354, ""H"": 0.26046193934252115, ""I"": -0.08528393068376802, ""d"": 0.759744814336662, ""a"": 0.7476369055594283, ""g_raw"": 0.7536908599480452, ""g_stress"": -0.17583158212924963, ""s"": 0.45615500834008404, ""drift_probe_raw"": -0.11792433458855091, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0010726434749466162, 0.05071058093140936, 0.28880997962555804, 0.1368740487706673, 0.5225327471974187], ""h_t"": 0.11043128014883122, ""rho_t"": 0.336103640750804}",strict,,True
2024-08-16,3.0,"[0.00048438323298882497, 0.0041185825965103715, 0.1936691122254791, 0.5829567305443211, 0.21877119140070064]",0.48064171488285895,0.15619132710234682,0.29229564301959954,-0.4118917021137871,"{""L"": -0.5370113317732131, ""T"": 1.0378652583784411, ""P"": 0.0694305121297687, ""E"": -1.2685679512603136, ""H"": 0.16580593575561128, ""I"": -0.4118917021137871, ""d"": 1.268003440553043, ""a"": 0.5148287358420591, ""g_raw"": 0.891416088197551, ""g_stress"": -0.07747186536047462, ""s"": 0.48064171488285895, ""drift_probe_raw"": -0.1167534295486599, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.00048438323298882497, 0.0041185825965103715, 0.1936691122254791, 0.5829567305443211, 0.21877119140070064], ""h_t"": 0.15619132710234682, ""rho_t"": 0.29229564301959954}",strict,,True
2024-08-23,4.0,"[0.000507005197704037, 0.21126068809054138, 0.16800376420938423, 0.025409786332817038, 0.5948187561695533]",0.6014026332611808,0.44970890916492,0.45067511709737973,0.20439906594012475,"{""L"": 0.2217788785327376, ""T"": 0.9160677511154249, ""P"": 0.29382444540472485, ""E"": -0.9685218737037743, ""H"": 0.482791375654675, ""I"": 0.20439906594012475, ""d"": 0.8969371382560175, ""a"": 1.3021472016173534, ""g_raw"": 1.0995421699366854, ""g_stress"": 0.4113128476148973, ""s"": 0.6014026332611808, ""drift_probe_raw"": -0.11449549115677572, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.000507005197704037, 0.21126068809054138, 0.16800376420938423, 0.025409786332817038, 0.5948187561695533], ""h_t"": 0.44970890916492, ""rho_t"": 0.45067511709737973}",strict,,True
2024-08-30,4.0,"[0.0004922675721525695, 0.02178920017516811, 0.24149232747217747, 0.2772316760640387, 0.4589945287164632]",0.3523652479406952,0.3285779191463757,0.2352483727714052,-0.19192451905500701,"{""L"": -0.10059831273858616, ""T"": 0.90708580553143, ""P"": 0.2675437244145534, ""E"": -1.4053404594060832, ""H"": 0.34412663794420434, ""I"": -0.19192451905500701, ""d"": 0.45963388077515654, ""a"": 0.7502638317812091, ""g_raw"": 0.6049488562781828, ""g_stress"": -0.6086586093891131, ""s"": 0.3523652479406952, ""drift_probe_raw"": -0.11354516377543271, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0004922675721525695, 0.02178920017516811, 0.24149232747217747, 0.2772316760640387, 0.4589945287164632], ""h_t"": 0.3285779191463757, ""rho_t"": 0.2352483727714052}",strict,,True
2024-09-06,4.0,"[0.0005332900641573765, 0.30627014417546405, 0.14453670724579176, 0.013295531751309961, 0.5353643267632768]",0.5623691015143678,0.3132137297280293,0.4207019230008887,0.2831581838997024,"{""L"": 0.20013135209521654, ""T"": 0.8344007579952354, ""P"": 0.3917559327945755, ""E"": -0.8772596089613767, ""H"": 0.47003178933506284, ""I"": 0.2831581838997024, ""d"": 1.089987515850403, ""a"": 0.8169081592601558, ""g_raw"": 0.9534478375552795, ""g_stress"": 0.2507825409929696, ""s"": 0.5623691015143678, ""drift_probe_raw"": -0.11120063244121613, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.0005332900641573765, 0.30627014417546405, 0.14453670724579176, 0.013295531751309961, 0.5353643267632768], ""h_t"": 0.3132137297280293, ""rho_t"": 0.4207019230008887}",strict,,True
