week_end,k_hat_t,p_t,s_t,h_t,rho_t,I_t,interpretability,mode,degraded_reason,strict_contracts_satisfied
2012-10-26,3.0,"[0.032816137330093795, 0.1941039102176993, 0.21576585191006833, 0.4677983196118571, 0.08951578093028148]",0.6076863224618531,,,-0.2890249257243188,"{""L"": 0.5756352441693243, ""T"": -0.29507292740494895, ""P"": 0.3160535832058406, ""E"": 1.1588801498879473, ""H"": 0.2059919688774578, ""I"": -0.2890249257243188, ""d"": 0.678139949266274, ""a"": 0.3327197795089904, ""g_raw"": 0.5054298643876322, ""g_stress"": 0.4375971142273789, ""s"": 0.6076863224618531, ""drift_probe_raw"": -0.22429996259749702, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.032816137330093795, 0.1941039102176993, 0.21576585191006833, 0.4677983196118571, 0.08951578093028148], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-11-02,3.0,"[0.027522315396776454, 0.1784954492224745, 0.2127813173612635, 0.49691048964989853, 0.08429042836958693]",0.29377140833834925,,,-0.31292875720907204,"{""L"": 0.6861585672691878, ""T"": -0.33942531333376713, ""P"": 0.31199825118337765, ""E"": -1.662702199858696, ""H"": 0.23366413003670106, ""I"": -0.31292875720907204, ""d"": 0.6062027748335828, ""a"": 0.10003097916189947, ""g_raw"": 0.35311687699774114, ""g_stress"": -0.8771370270572536, ""s"": 0.29377140833834925, ""drift_probe_raw"": -0.22491019868671855, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.027522315396776454, 0.1784954492224745, 0.2127813173612635, 0.49691048964989853, 0.08429042836958693], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-11-09,3.0,"[0.052794636720527435, 0.23905009932513585, 0.20769151468566946, 0.40368206874092133, 0.096781680527746]",0.4886865248616832,,,-0.24547469911915235,"{""L"": 0.714272685661074, ""T"": -0.6200694565712204, ""P"": 0.09855798843332948, ""E"": 1.1515944021056872, ""H"": 0.0933242615728349, ""I"": -0.24547469911915235, ""d"": 0.49635436147768575, ""a"": 0.24710806236142863, ""g_raw"": 0.37173121191955716, ""g_stress"": -0.04526162594030303, ""s"": 0.4886865248616832, ""drift_probe_raw"": -0.2265989438237547, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.052794636720527435, 0.23905009932513585, 0.20769151468566946, 0.40368206874092133, 0.096781680527746], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-11-16,1.0,"[0.05760435984441574, 0.31539503545124875, 0.2227459629888895, 0.2626342480582903, 0.14162039365715573]",0.38603997777842697,,,-0.11434718343775041,"{""L"": 0.8243626233784714, ""T"": -0.7837662891652737, ""P"": 0.18089895264320824, ""E"": 0.07034556686282667, ""H"": 0.10065158630434487, ""I"": -0.11434718343775041, ""d"": 0.33719951083373395, ""a"": 0.3338344986532958, ""g_raw"": 0.33551700474351487, ""g_stress"": -0.4639888821629948, ""s"": 0.38603997777842697, ""drift_probe_raw"": -0.22271014387594784, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.05760435984441574, 0.31539503545124875, 0.2227459629888895, 0.2626342480582903, 0.14162039365715573], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-11-23,1.0,"[0.03576201340726189, 0.342669798506941, 0.24543782510278575, 0.14859873835008355, 0.22753162463292792]",0.5940909219267125,,,0.043313064662677876,"{""L"": 0.6995118064585379, ""T"": -0.3717706900679501, ""P"": 0.33797414479069765, ""E"": 1.8708971556098124, ""H"": 0.2341785172573071, ""I"": 0.043313064662677876, ""d"": 0.4714836466640013, ""a"": 0.41036602745049766, ""g_raw"": 0.4409248370572495, ""g_stress"": 0.38090318597587336, ""s"": 0.5940909219267125, ""drift_probe_raw"": -0.21716303585608207, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.03576201340726189, 0.342669798506941, 0.24543782510278575, 0.14859873835008355, 0.22753162463292792], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-11-30,1.0,"[0.026912389807658532, 0.3318152000227007, 0.2550768112238615, 0.13716217599963382, 0.24903342294614542]",0.4262196602991267,,,0.06507084131153187,"{""L"": 0.7454680188562861, ""T"": -0.23920494561313183, ""P"": 0.33874827719233824, ""E"": 1.5826726707453318, ""H"": 0.2991525458760029, ""I"": 0.06507084131153187, ""d"": 0.4420152723810254, ""a"": 0.10199008552511135, ""g_raw"": 0.2720026789530684, ""g_stress"": -0.2972917917490411, ""s"": 0.4262196602991267, ""drift_probe_raw"": -0.21609803672374003, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.026912389807658532, 0.3318152000227007, 0.2550768112238615, 0.13716217599963382, 0.24903342294614542], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-12-07,1.0,"[0.03274824291965445, 0.36371462146280403, 0.23442230848056897, 0.09939079022498531, 0.2697240369119872]",0.501239483830742,,,0.13405235335552243,"{""L"": 0.7533344568429137, ""T"": -0.3665792043816448, ""P"": 0.2909299489719792, ""E"": 1.9607723166225124, ""H"": 0.2457635484465846, ""I"": 0.13405235335552243, ""d"": 0.5498008478428408, ""a"": 0.10626214465739037, ""g_raw"": 0.3280314962501156, ""g_stress"": 0.0049579454789734495, ""s"": 0.501239483830742, ""drift_probe_raw"": -0.21545933625150585, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.03274824291965445, 0.36371462146280403, 0.23442230848056897, 0.09939079022498531, 0.2697240369119872], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-12-14,1.0,"[0.0412620802449884, 0.3615081254012527, 0.2353341376479079, 0.14028957787270444, 0.22160607883314654]",0.42043048896142265,,,0.05332137073553036,"{""L"": 0.6976710820580742, ""T"": -0.412101487284447, ""P"": 0.20673745680061323, ""E"": 1.4323191580963521, ""H"": 0.18651727647382654, ""I"": 0.05332137073553036, ""d"": 0.29157928731338095, ""a"": 0.26184668169123654, ""g_raw"": 0.27671298450230875, ""g_stress"": -0.32100644554162094, ""s"": 0.42043048896142265, ""drift_probe_raw"": -0.21182719362799898, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.0412620802449884, 0.3615081254012527, 0.2353341376479079, 0.14028957787270444, 0.22160607883314654], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-12-21,1.0,"[0.030494632682880694, 0.33774748225492845, 0.25097720340160484, 0.15805029463101794, 0.22273038702956807]",0.32143706198693095,,,0.029518476678866583,"{""L"": 0.7701592117806366, ""T"": -0.297187154737153, ""P"": 0.19707271188358824, ""E"": 1.490655397851349, ""H"": 0.25331635852514817, ""I"": 0.029518476678866583, ""d"": 0.16059366914091538, ""a"": 0.13494449472960307, ""g_raw"": 0.14776908193525923, ""g_stress"": -0.7471754746285673, ""s"": 0.32143706198693095, ""drift_probe_raw"": -0.19704786626955859, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.030494632682880694, 0.33774748225492845, 0.25097720340160484, 0.15805029463101794, 0.22273038702956807], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2012-12-28,3.0,"[0.06004063578806025, 0.2640817109800699, 0.1935878321212427, 0.39310438023683175, 0.0891854408737955]",0.7426571660618156,,,-0.2348032919379178,"{""L"": 0.6604782597018326, ""T"": -0.5119376813935415, ""P"": -0.2136946809405025, ""E"": 1.712030050260817, ""H"": 0.0315894451578679, ""I"": -0.2348032919379178, ""d"": 0.6229776968063028, ""a"": 0.6777265588246576, ""g_raw"": 0.6503521278154802, ""g_stress"": 1.059825339617273, ""s"": 0.7426571660618156, ""drift_probe_raw"": -0.1865169209251006, ""drift_flag"": 0, ""k_hat_t"": 3, ""p_t"": [0.06004063578806025, 0.2640817109800699, 0.1935878321212427, 0.39310438023683175, 0.0891854408737955], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2013-01-04,1.0,"[0.019427707880504845, 0.32248188075728457, 0.2628419787541068, 0.13742942686691165, 0.2578190057411922]",0.702254925834717,,,0.06729636516732034,"{""L"": 0.6485548141628191, ""T"": -0.11472718174590961, ""P"": 0.5115828475552144, ""E"": 1.7067654984921123, ""H"": 0.3471631239428629, ""I"": 0.06729636516732034, ""d"": 0.3467210067371433, ""a"": 0.8915209569447039, ""g_raw"": 0.6191209818409236, ""g_stress"": 0.8580588157472663, ""s"": 0.702254925834717, ""drift_probe_raw"": -0.18121499136358346, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.019427707880504845, 0.32248188075728457, 0.2628419787541068, 0.13742942686691165, 0.2578190057411922], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2013-01-11,1.0,"[0.014647956921072076, 0.3298648823159109, 0.24988160650703317, 0.0821343694820006, 0.3234711847739832]",0.5199177983313081,,,0.178519585399599,"{""L"": 0.688146170295058, ""T"": -0.046937197195191335, ""P"": 0.5754012280722651, ""E"": 1.6927912688740914, ""H"": 0.4026807561177725, ""I"": 0.178519585399599, ""d"": 0.5833261117849049, ""a"": 0.20860134690544652, ""g_raw"": 0.3959637293451757, ""g_stress"": 0.07971337623121671, ""s"": 0.5199177983313081, ""drift_probe_raw"": -0.1858305845429963, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.014647956921072076, 0.3298648823159109, 0.24988160650703317, 0.0821343694820006, 0.3234711847739832], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2013-01-18,1.0,"[0.012736914405752257, 0.31900348437605575, 0.26142695003642735, 0.09657723926545536, 0.3102554119163093]",0.46531530832640633,,,0.14470506175646342,"{""L"": 0.7612580188480561, ""T"": -0.08888162867607935, ""P"": 0.6303927139057461, ""E"": 2.059939516841828, ""H"": 0.4309928159790312, ""I"": 0.14470506175646342, ""d"": 0.42750366957223995, ""a"": 0.1482205318295232, ""g_raw"": 0.2878621007008816, ""g_stress"": -0.13896195358084154, ""s"": 0.46531530832640633, ""drift_probe_raw"": -0.1861903605133132, ""drift_flag"": 0, ""k_hat_t"": 1, ""p_t"": [0.012736914405752257, 0.31900348437605575, 0.26142695003642735, 0.09657723926545536, 0.3102554119163093], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
2013-01-25,4.0,"[0.013595450980428627, 0.34489045679393754, 0.21195471356248619, 0.042724536271012026, 0.38683484239213567]",0.5910217269779724,,,0.30894220799521355,"{""L"": 0.7121423913668529, ""T"": -0.11359143353149204, ""P"": 0.6043366580799405, ""E"": 1.2978262285396434, ""H"": 0.3961841193307041, ""I"": 0.30894220799521355, ""d"": 0.7497300435906635, ""a"": 0.3122637700052823, ""g_raw"": 0.530996906797973, ""g_stress"": 0.3681907473702118, ""s"": 0.5910217269779724, ""drift_probe_raw"": -0.18581678921219305, ""drift_flag"": 0, ""k_hat_t"": 4, ""p_t"": [0.013595450980428627, 0.34489045679393754, 0.21195471356248619, 0.042724536271012026, 0.38683484239213567], ""h_t"": null, ""rho_t"": null}",degraded,h_t unavailable for this week: micro data window not satisfied,True
