instrument_id,normalized_weight
CUSIP:67066G104,0.08411618
CUSIP:037833100,0.07173928
CUSIP:594918104,0.05368057
CUSIP:023135106,0.0502316
CUSIP:02079K305,0.0391681
CUSIP:02079K107,0.0363504
CUSIP:11135F101,0.03484082
CUSIP:88160R101,0.03402474
CUSIP:30303M102,0.03131739
CUSIP:931142103,0.0309712599999999
CUSIP:595112103,0.02938707
CUSIP:007903107,0.02830674
CUSIP:458140100,0.02396192
CUSIP:22160K105,0.02165589
CUSIP:64110L106,0.0187174
CUSIP:17275R102,0.01747045
CUSIP:69608A108,0.01589742
CUSIP:512807306,0.01543768
CUSIP:038222105,0.01486913
CUSIP:882508104,0.01228139
CUSIP:G54950103,0.01133405
CUSIP:482480100,0.01089615
CUSIP:872590104,0.01040296
CUSIP:713448108,0.0103592599999999
CUSIP:032654105,0.00934942
CUSIP:747525103,0.00909498
CUSIP:031162100,0.0085617
CUSIP:80004C200,0.00843689
CUSIP:375558103,0.00787008
CUSIP:46120E602,0.00782857
CUSIP:G7997R103,0.0076337
CUSIP:82509L107,0.0075375899999999
CUSIP:697435105,0.00711543
CUSIP:958102105,0.00704511
CUSIP:573874104,0.00691996
CUSIP:03831W108,0.0068019399999999
CUSIP:438516106,0.00650481
CUSIP:09857L108,0.00646808
CUSIP:N07059210,0.00605391
CUSIP:855244109,0.0058099599999999
CUSIP:22788C105,0.00553134
CUSIP:21037T109,0.00536563
CUSIP:461202103,0.0053141099999999
CUSIP:92532F100,0.0051857699999999
CUSIP:00724F101,0.0049213699999999
CUSIP:20030N101,0.0046984
CUSIP:127387108,0.00453285
CUSIP:571903202,0.0045295
CUSIP:58733R102,0.00451651
CUSIP:871607107,0.00451104
CUSIP:053015103,0.00415339
CUSIP:126408103,0.00403765
CUSIP:67103H107,0.00390326
CUSIP:609207105,0.00378819
CUSIP:609839105,0.0037454
CUSIP:61174X109,0.00363301
CUSIP:N6596X109,0.00359258
CUSIP:025537101,0.00356583
CUSIP:778296103,0.00356428
CUSIP:75886F107,0.00350952
CUSIP:25809K105,0.0034714
CUSIP:05722G100,0.0032893
CUSIP:172908105,0.00326611
CUSIP:934423104,0.00322077
CUSIP:722304102,0.00320738
CUSIP:34959E109,0.00307459
CUSIP:693718108,0.00293966
CUSIP:009066101,0.00288946
CUSIP:25278X109,0.00282061
CUSIP:594972408,0.00267988
CUSIP:311900104,0.00249657
CUSIP:052769106,0.00249453
CUSIP:98389B100,0.00248093
CUSIP:595017104,0.00244817
CUSIP:285512109,0.00243536
CUSIP:N3168P101,0.00238984
CUSIP:30161N101,0.00229046
CUSIP:70450Y103,0.00223623
CUSIP:23804L103,0.00222291
CUSIP:45168D104,0.00217579
CUSIP:G25839104,0.0020780399999999
CUSIP:679580100,0.00206564
CUSIP:884903808,0.00202238
CUSIP:874054109,0.00192637
CUSIP:49271V100,0.00190325
CUSIP:02043Q107,0.00189108
CUSIP:776696106,0.0017755
CUSIP:704326107,0.00160795
CUSIP:05464C101,0.00155764
CUSIP:217204106,0.00155087
CUSIP:042068205,0.00142014
CUSIP:457669307,0.00138322
CUSIP:36266G107,0.00134015
CUSIP:98138H101,0.00130223
CUSIP:500754106,0.001282
CUSIP:192446102,0.00120746
CUSIP:92345Y106,0.0012030399999999
CUSIP:252131107,0.00113701
CUSIP:98980G102,0.00108253
CUSIP:16119P108,0.00104727
CUSIP:CASHUSD00,0.00093719
CUSIP:NQM6,0.00081501
CUSIP:22160N109,0.00070187
CUSIP:FUTPLGCSH,-2.37e-06
CUSIP:None,-0.00081501
